,Dataset,File,Track_ID,Mean_rotation,nb_neighbors,nb_critical_neighbors,mean_nb_neighbors_per_frame,mean_nb_critical_neighbors_per_frame,mean_contact,is_static
25,stanford,nexus_1.txt,27.0,5.420037301062932,17,3,11.5,1.6,10.666666666666666,False
26,stanford,nexus_1.txt,28.0,61.82241868184074,19,1,11.95,0.05,1.0,False
27,stanford,nexus_1.txt,29.0,47.97547844021586,27,1,14.25,0.45,9.0,False
28,stanford,nexus_1.txt,30.0,0.0,27,0,13.95,0.0,0.0,False
29,stanford,nexus_1.txt,31.0,0.8703771171566138,28,4,15.0,1.55,7.75,False
30,stanford,nexus_1.txt,32.0,2.250489095169436,25,1,13.4,0.5,10.0,False
31,stanford,nexus_1.txt,33.0,18.614514777423523,18,3,10.3,1.05,7.0,False
32,stanford,nexus_1.txt,34.0,28.388451851107398,18,1,9.75,0.4,8.0,False
33,stanford,nexus_1.txt,35.0,55.53327975386998,16,4,10.4,1.85,9.25,False
34,stanford,nexus_1.txt,36.0,2.4272479201838366,19,6,10.55,2.95,9.833333333333334,False
35,stanford,nexus_1.txt,37.0,5.10182741523941,26,2,14.7,1.0,10.0,False
36,stanford,nexus_1.txt,38.0,3.5627018031595212,26,6,14.85,2.4,8.0,False
37,stanford,nexus_1.txt,39.0,3.9993342277800044,22,2,11.65,0.4,4.0,False
38,stanford,nexus_1.txt,40.0,1.2014500466054718,17,3,9.05,0.85,5.666666666666667,False
39,stanford,nexus_1.txt,41.0,23.633412192662483,17,2,11.1,1.1,11.0,False
40,stanford,nexus_1.txt,42.0,0.8431670814378451,19,3,11.15,1.35,9.0,False
41,stanford,nexus_1.txt,43.0,21.853249310503326,16,0,9.75,0.0,0.0,False
42,stanford,nexus_1.txt,44.0,93.13242850535606,16,0,10.4,0.0,0.0,False
43,stanford,nexus_1.txt,45.0,18.031142558688828,19,0,10.55,0.0,0.0,False
44,stanford,nexus_1.txt,46.0,6.249571324917431,18,1,11.0,0.15,3.0,False
45,stanford,nexus_1.txt,47.0,1.5081492662593192,18,3,10.15,0.9,6.0,False
46,stanford,nexus_1.txt,48.0,6.001045545391864,20,2,12.1,0.1,1.0,False
47,stanford,nexus_1.txt,49.0,5.9034888750256505,24,0,12.65,0.0,0.0,False
48,stanford,nexus_1.txt,50.0,32.16164714307565,26,5,12.75,0.85,3.4,False
49,stanford,nexus_1.txt,51.0,1.1522489586611053,17,3,10.45,2.0,13.333333333333334,False
50,stanford,nexus_1.txt,52.0,0.6544956875436613,17,3,8.65,1.05,7.0,False
51,stanford,nexus_1.txt,53.0,19.615475405452486,20,3,11.65,1.2,8.0,False
52,stanford,nexus_1.txt,54.0,12.721531811792275,21,3,10.75,1.25,8.333333333333334,False
53,stanford,nexus_1.txt,55.0,9.811456560987494,22,10,13.15,3.5,7.0,False
54,stanford,nexus_1.txt,56.0,9.744130847113219,27,4,15.1,1.95,9.75,False
55,stanford,nexus_1.txt,57.0,13.44503613587334,30,5,16.35,2.1,8.4,False
56,stanford,nexus_1.txt,58.0,31.82798409405417,25,5,12.0,2.2,8.8,False
57,stanford,nexus_1.txt,59.0,16.174367620147816,23,4,12.05,1.75,8.75,False
58,stanford,nexus_1.txt,60.0,0.0,27,1,14.0,0.05,1.0,True
59,stanford,nexus_1.txt,61.0,5.3618146116759,17,3,10.4,2.0,13.333333333333334,False
60,stanford,nexus_1.txt,62.0,2.4699642827367367,15,2,8.7,1.0,10.0,False
61,stanford,nexus_1.txt,63.0,5.373914112048757,20,3,11.75,1.35,9.0,False
62,stanford,nexus_1.txt,64.0,1.8081232659661877,21,3,10.7,1.25,8.333333333333334,False
63,stanford,nexus_1.txt,65.0,5.833435579028875,22,10,13.25,3.15,6.3,False
64,stanford,nexus_1.txt,66.0,12.6146422271507,27,5,15.25,2.15,8.6,False
65,stanford,nexus_1.txt,67.0,18.961477602750954,29,6,16.35,2.45,8.166666666666666,False
66,stanford,nexus_1.txt,68.0,29.20096108923018,24,5,11.75,2.15,8.6,False
67,stanford,nexus_1.txt,69.0,13.012772515936181,22,4,12.2,1.75,8.75,False
68,stanford,nexus_1.txt,70.0,11.752609444257999,25,3,12.95,1.4,9.333333333333334,False
69,stanford,nexus_1.txt,71.0,31.808339072009282,21,0,11.95,0.0,0.0,False
70,stanford,nexus_1.txt,72.0,2.162165762110158,23,0,10.9,0.0,0.0,False
71,stanford,nexus_1.txt,73.0,28.434705892166722,26,0,13.4,0.0,0.0,False
72,stanford,nexus_1.txt,74.0,6.6518996636569865,27,4,15.45,2.25,11.25,False
73,stanford,nexus_1.txt,75.0,7.667681083217596,26,3,16.25,0.65,4.333333333333333,False
74,stanford,nexus_1.txt,76.0,5.029599962184728,20,0,11.2,0.0,0.0,False
75,stanford,nexus_1.txt,77.0,7.243775457922689,20,0,12.5,0.0,0.0,False
76,stanford,nexus_1.txt,78.0,6.553176109393622,22,0,12.65,0.0,0.0,False
77,stanford,nexus_1.txt,79.0,7.373154698599275,27,0,14.35,0.0,0.0,False
78,stanford,nexus_1.txt,80.0,6.3676422887139585,30,1,16.35,0.1,2.0,False
79,stanford,nexus_1.txt,81.0,29.204230952424414,23,2,13.3,0.55,5.5,False
80,stanford,nexus_1.txt,82.0,21.083981714543594,20,1,11.35,0.8,16.0,False
81,stanford,nexus_1.txt,83.0,9.217299303797187,25,2,13.85,1.7,17.0,False
82,stanford,nexus_1.txt,84.0,35.92814022204992,26,2,13.55,0.8,8.0,False
83,stanford,nexus_1.txt,85.0,19.866266021784284,24,1,13.7,0.3,6.0,False
84,stanford,nexus_1.txt,86.0,134.66849028006692,29,3,16.05,1.2,8.0,False
85,stanford,nexus_1.txt,87.0,165.8355430963229,27,3,15.05,1.3,8.666666666666666,False
86,stanford,nexus_1.txt,88.0,17.47895304935568,15,4,10.8,3.3,16.5,False
87,stanford,nexus_1.txt,89.0,14.77523273194807,17,7,11.5,3.55,10.142857142857142,False
88,stanford,nexus_1.txt,90.0,15.904271988842192,19,8,11.95,3.55,8.875,False
89,stanford,nexus_1.txt,91.0,5.6380601747225025,24,8,13.7,3.65,9.125,False
90,stanford,nexus_1.txt,92.0,5.001597984005878,29,6,16.05,3.0,10.0,False
91,stanford,nexus_1.txt,93.0,5.781792518714409,27,5,15.05,2.15,8.6,False
92,stanford,nexus_1.txt,94.0,4.918279022706376,20,6,11.15,3.6,12.0,False
93,stanford,nexus_1.txt,95.0,14.601169355212965,20,8,11.3,3.55,8.875,False
94,stanford,nexus_1.txt,96.0,4.785623088646389,21,8,12.2,3.65,9.125,False
95,stanford,nexus_1.txt,97.0,4.741872671401512,26,8,13.95,2.8,7.0,False
96,stanford,nexus_1.txt,98.0,26.007273556875294,30,4,16.25,2.0,10.0,False
97,stanford,nexus_1.txt,99.0,9.355424062480513,25,2,14.4,1.85,18.5,False
98,stanford,nexus_1.txt,100.0,7.209707912277228,21,7,11.25,3.15,9.0,False
99,stanford,nexus_1.txt,101.0,5.815251818040099,20,7,11.2,2.85,8.142857142857142,False
100,stanford,nexus_1.txt,102.0,15.37499344038509,21,8,12.35,3.6,9.0,False
101,stanford,nexus_1.txt,103.0,21.369799068744687,26,7,14.05,2.45,7.0,False
102,stanford,nexus_1.txt,104.0,9.570145797869124,30,3,16.35,1.05,7.0,False
103,stanford,nexus_1.txt,105.0,5.558941420278918,24,0,13.4,0.0,0.0,False
104,stanford,nexus_1.txt,106.0,41.776813593633456,26,2,15.35,1.1,11.0,False
105,stanford,nexus_1.txt,107.0,68.28278011186252,26,9,16.25,3.1,6.888888888888889,False
106,stanford,nexus_1.txt,108.0,18.22135417022651,24,1,13.4,1.0,20.0,False
107,stanford,nexus_1.txt,109.0,16.691468545900904,26,2,15.35,1.55,15.5,False
108,stanford,nexus_1.txt,110.0,14.920418288556803,28,2,16.35,1.25,12.5,False
109,stanford,nexus_1.txt,111.0,36.25978282733853,24,1,13.4,1.0,20.0,False
110,stanford,nexus_1.txt,112.0,10.066148024173563,26,2,15.35,1.55,15.5,False
111,stanford,nexus_1.txt,113.0,14.237582348728559,28,2,16.35,1.25,12.5,False
112,stanford,nexus_1.txt,114.0,4.062376873819222,19,5,11.0,3.2,12.8,False
113,stanford,nexus_1.txt,115.0,20.271782890544404,20,7,11.4,3.3,9.428571428571429,False
114,stanford,nexus_1.txt,116.0,20.5372747542378,20,8,12.05,3.1,7.75,False
115,stanford,nexus_1.txt,117.0,33.40813006481358,25,8,13.85,3.4,8.5,False
116,stanford,nexus_1.txt,118.0,20.072538363815042,29,6,16.15,2.15,7.166666666666667,False
117,stanford,nexus_1.txt,119.0,7.533774146088574,25,3,14.75,1.95,13.0,False
118,stanford,nexus_1.txt,120.0,13.994484232949485,25,0,13.85,0.0,0.0,False
119,stanford,nexus_1.txt,121.0,32.68834891279745,26,3,15.0,0.6,4.0,False
120,stanford,nexus_1.txt,122.0,4.98584828674711,23,6,13.7,1.9,6.333333333333333,False
121,stanford,nexus_1.txt,123.0,3.4721058145248316,17,1,10.7,0.35,7.0,False
122,stanford,nexus_1.txt,124.0,4.859165712599939,18,1,9.35,0.15,3.0,False
123,stanford,nexus_1.txt,125.0,19.3093014712827,22,1,11.0,1.0,20.0,False
124,stanford,nexus_1.txt,126.0,10.686952904927034,29,1,16.8,1.0,20.0,False
125,stanford,nexus_1.txt,127.0,16.2721222516188,31,3,17.3,1.35,9.0,False
126,stanford,nexus_1.txt,128.0,8.21399735881747,35,3,18.1,1.4,9.333333333333334,False
127,stanford,nexus_1.txt,129.0,3.6370250458384756,42,6,23.95,3.25,10.833333333333334,False
128,stanford,nexus_1.txt,130.0,33.89446757344245,43,3,26.1,1.8,12.0,False
129,stanford,nexus_1.txt,131.0,25.039560851791393,40,3,23.3,1.3,8.666666666666666,False
130,stanford,nexus_1.txt,132.0,0.45710465846485493,34,8,20.2,2.8,7.0,False
131,stanford,nexus_1.txt,133.0,5.678189333514531,45,4,25.55,1.0,5.0,False
132,stanford,nexus_1.txt,134.0,3.6032382569162658,41,3,23.25,0.45,3.0,False
133,stanford,nexus_1.txt,135.0,6.746416540358903,31,2,18.4,0.6,6.0,False
134,stanford,nexus_1.txt,136.0,9.312015154694135,24,2,13.2,0.6,6.0,False
135,stanford,nexus_1.txt,137.0,20.37076300378847,27,4,14.25,2.15,10.75,False
136,stanford,nexus_1.txt,138.0,0.0,25,0,14.2,0.0,0.0,True
137,stanford,nexus_1.txt,139.0,0.0,25,1,14.0,0.55,11.0,True
138,stanford,nexus_1.txt,140.0,0.0,26,1,15.0,0.3,6.0,True
139,stanford,nexus_1.txt,141.0,96.44247427870785,23,2,13.25,0.95,9.5,False
140,stanford,nexus_1.txt,142.0,11.007420168271244,16,8,10.1,2.35,5.875,False
141,stanford,nexus_1.txt,143.0,17.91104429688721,17,3,9.9,1.4,9.333333333333334,False
142,stanford,nexus_1.txt,144.0,2.311265196855131,20,3,10.55,1.1,7.333333333333333,False
143,stanford,nexus_1.txt,145.0,43.52605631515044,23,5,11.0,1.5,6.0,False
144,stanford,nexus_1.txt,146.0,19.26666321653636,22,4,11.65,1.15,5.75,False
145,stanford,nexus_1.txt,147.0,22.621919772416998,17,4,9.05,1.8,9.0,False
146,stanford,nexus_1.txt,148.0,14.617839290648856,17,2,11.1,1.0,10.0,False
147,stanford,nexus_1.txt,149.0,13.573268264253002,17,4,10.05,1.5,7.5,False
148,stanford,nexus_1.txt,150.0,37.58397902821607,20,2,12.3,1.0,10.0,False
149,stanford,nexus_1.txt,151.0,5.938236563718989,36,0,19.0,0.0,0.0,False
150,stanford,nexus_1.txt,152.0,2.2808367041027244,29,1,14.15,0.15,3.0,False
151,stanford,nexus_1.txt,153.0,4.8115738531723915,22,3,11.9,0.8,5.333333333333333,False
152,stanford,nexus_1.txt,154.0,5.348489631572486,21,7,11.2,2.7,7.714285714285714,False
153,stanford,nexus_1.txt,155.0,3.2343609493786682,22,2,11.4,0.2,2.0,False
154,stanford,nexus_1.txt,156.0,1.3946897586034726,19,1,11.9,1.0,20.0,False
155,stanford,nexus_1.txt,157.0,3.9507521706646256,18,1,10.9,1.0,20.0,False
156,stanford,nexus_1.txt,158.0,0.0,16,1,11.6,1.0,20.0,False
157,stanford,nexus_1.txt,159.0,10.551841338118605,18,2,18.35,1.25,12.5,False
158,stanford,nexus_1.txt,160.0,6.232407059533189,19,2,19.0,1.3,13.0,False
159,stanford,nexus_1.txt,161.0,8.285206288988057,12,2,11.7,1.7,17.0,False
160,stanford,nexus_1.txt,162.0,37.04824864712061,14,7,11.9,2.25,6.428571428571429,False
161,stanford,nexus_1.txt,163.0,12.621574689416443,18,2,18.35,1.25,12.5,False
162,stanford,nexus_1.txt,164.0,5.010624977703151,19,2,19.0,1.3,13.0,False
163,stanford,nexus_1.txt,165.0,20.618096308675227,12,2,11.7,1.75,17.5,False
164,stanford,nexus_1.txt,166.0,22.347302850003803,14,8,11.9,2.85,7.125,False
165,stanford,nexus_1.txt,167.0,12.214042285754799,18,2,18.35,0.95,9.5,False
166,stanford,nexus_1.txt,168.0,3.7842954278204473,19,2,19.0,0.55,5.5,False
167,stanford,nexus_1.txt,169.0,12.952903750959177,12,0,11.7,0.0,0.0,False
168,stanford,nexus_1.txt,170.0,22.959375154161595,14,0,11.9,0.0,0.0,False
169,stanford,nexus_1.txt,171.0,8.2861737651952,15,0,10.85,0.0,0.0,False
170,stanford,nexus_1.txt,172.0,0.0,17,0,11.75,0.0,0.0,True
171,stanford,nexus_1.txt,173.0,25.05176226577634,19,5,10.95,2.2,8.8,False
172,stanford,nexus_1.txt,174.0,8.34281364811299,20,4,10.05,1.45,7.25,False
173,stanford,nexus_1.txt,175.0,40.04731587055605,22,2,13.0,1.0,10.0,False
174,stanford,nexus_1.txt,176.0,44.75815023014446,21,2,13.05,1.0,10.0,False
175,stanford,nexus_1.txt,177.0,15.908128169854121,18,5,18.35,5.0,20.0,False
176,stanford,nexus_1.txt,178.0,3.56849272512477,19,6,19.0,5.1,17.0,False
177,stanford,nexus_1.txt,179.0,24.24007214108547,12,3,11.7,2.1,14.0,False
178,stanford,nexus_1.txt,180.0,0.0,14,6,11.9,2.5,8.333333333333334,True
179,stanford,nexus_1.txt,181.0,43.49487686107298,15,4,10.85,2.35,11.75,False
180,stanford,nexus_1.txt,182.0,8.543062931617627,17,3,11.75,0.55,3.6666666666666665,False
181,stanford,nexus_1.txt,183.0,13.516815312828285,18,5,18.35,5.0,20.0,False
182,stanford,nexus_1.txt,184.0,4.128253329396714,19,6,19.0,5.25,17.5,False
183,stanford,nexus_1.txt,185.0,17.480124555185352,12,3,11.7,2.9,19.333333333333332,False
184,stanford,nexus_1.txt,186.0,0.0,14,5,11.9,2.55,10.2,True
185,stanford,nexus_1.txt,187.0,0.0,15,5,10.85,2.7,10.8,True
186,stanford,nexus_1.txt,188.0,0.0,17,3,11.75,1.35,9.0,True
187,stanford,nexus_1.txt,189.0,27.50492134737178,21,5,11.8,2.9,11.6,False
188,stanford,nexus_1.txt,190.0,0.0,20,6,11.8,2.45,8.166666666666666,True
189,stanford,nexus_1.txt,191.0,0.0,19,6,10.95,2.7,9.0,True
190,stanford,nexus_1.txt,192.0,0.0,16,2,11.4,1.0,10.0,True
191,stanford,nexus_1.txt,193.0,0.0,20,0,11.0,0.0,0.0,True
192,stanford,nexus_1.txt,194.0,0.0,15,0,11.15,0.0,0.0,True
193,stanford,nexus_1.txt,195.0,63.52942518407199,18,1,18.35,0.7,14.0,False
194,stanford,nexus_1.txt,196.0,74.88949531811865,19,2,19.0,0.85,8.5,False
195,stanford,nexus_1.txt,197.0,76.04143176566825,12,1,11.7,1.0,20.0,False
196,stanford,nexus_1.txt,198.0,112.16574904054292,14,0,11.9,0.0,0.0,False
197,stanford,nexus_1.txt,199.0,0.0,15,0,10.85,0.0,0.0,True
198,stanford,nexus_1.txt,200.0,0.0,17,0,11.75,0.0,0.0,True
199,stanford,nexus_1.txt,201.0,79.973051772916,49,0,25.5,0.0,0.0,False
200,stanford,nexus_1.txt,202.0,60.00000394638184,47,0,24.55,0.0,0.0,False
201,stanford,nexus_1.txt,203.0,77.28462864744812,40,0,22.75,0.0,0.0,False
202,stanford,nexus_1.txt,204.0,41.06776504139545,26,0,15.55,0.0,0.0,False
203,stanford,nexus_1.txt,205.0,0.0,20,0,13.05,0.0,0.0,True
204,stanford,nexus_1.txt,206.0,0.0,21,0,13.0,0.0,0.0,True
205,stanford,nexus_1.txt,207.0,0.0,18,2,18.35,1.5,15.0,False
206,stanford,nexus_1.txt,208.0,143.6276898701085,19,2,19.0,1.2,12.0,False
207,stanford,nexus_1.txt,209.0,42.670393582367886,22,2,13.0,0.5,5.0,False
208,stanford,nexus_1.txt,210.0,29.67786754454982,21,0,13.05,0.0,0.0,False
209,stanford,nexus_1.txt,211.0,5.973909203819403,22,0,12.75,0.0,0.0,False
210,stanford,nexus_1.txt,212.0,3.8459026556830405,21,1,11.75,0.4,8.0,False
211,stanford,nexus_1.txt,213.0,85.84617371147617,20,1,13.05,1.0,20.0,False
212,stanford,nexus_1.txt,214.0,2.4525796538808518,21,1,13.0,1.0,20.0,False
213,stanford,nexus_1.txt,215.0,2.899136343365364,22,1,12.75,1.0,20.0,False
214,stanford,nexus_1.txt,216.0,51.989346232098725,20,1,11.85,1.0,20.0,False
215,stanford,nexus_1.txt,217.0,25.842129468544503,19,1,10.95,1.0,20.0,False
216,stanford,nexus_1.txt,218.0,27.585029999933496,24,1,13.8,1.0,20.0,False
217,stanford,nexus_1.txt,219.0,62.828506847068546,20,1,13.05,1.0,20.0,False
218,stanford,nexus_1.txt,220.0,3.0565405691737917,21,1,13.0,1.0,20.0,False
219,stanford,nexus_1.txt,221.0,6.936121090235962,22,1,12.75,1.0,20.0,False
220,stanford,nexus_1.txt,222.0,56.03926699777369,20,1,11.85,1.0,20.0,False
221,stanford,nexus_1.txt,223.0,6.287471325654551,19,1,10.95,1.0,20.0,False
222,stanford,nexus_1.txt,224.0,34.54648096653433,24,2,13.8,1.4,14.0,False
223,stanford,nexus_1.txt,225.0,5.34232556558837,18,3,11.15,1.1,7.333333333333333,False
224,stanford,nexus_1.txt,226.0,9.930383994557577,17,2,10.0,0.4,4.0,False
225,stanford,nexus_1.txt,227.0,2.6096621418310075,19,0,12.45,0.0,0.0,False
226,stanford,nexus_1.txt,228.0,3.127041062819382,23,0,12.7,0.0,0.0,False
227,stanford,nexus_1.txt,229.0,4.1076689366564985,25,0,12.85,0.0,0.0,False
228,stanford,nexus_1.txt,230.0,5.67157534203515,22,6,11.9,2.2,7.333333333333333,False
229,stanford,nexus_1.txt,231.0,12.301485243378425,21,4,11.65,1.35,6.75,False
230,stanford,nexus_1.txt,232.0,6.252137319143513,20,0,11.0,0.0,0.0,False
231,stanford,nexus_1.txt,233.0,4.8743680960160045,14,0,10.85,0.0,0.0,False
232,stanford,nexus_1.txt,234.0,40.93532188570229,14,0,8.25,0.0,0.0,False
233,stanford,nexus_1.txt,235.0,13.617013828468732,14,1,8.5,1.0,20.0,False
234,stanford,nexus_1.txt,236.0,17.849544015407673,14,1,8.5,1.0,20.0,False
235,stanford,nexus_1.txt,237.0,16.680033730779382,24,0,14.25,0.0,0.0,False
236,stanford,nexus_1.txt,238.0,9.040113052734199,25,0,13.85,0.0,0.0,False
237,stanford,nexus_1.txt,239.0,12.047236917790647,26,0,15.0,0.0,0.0,False
238,stanford,nexus_1.txt,240.0,0.0,23,0,13.7,0.0,0.0,True
239,stanford,nexus_1.txt,241.0,0.0,17,0,10.7,0.0,0.0,True
240,stanford,nexus_1.txt,242.0,36.92830981916661,18,3,9.35,0.85,5.666666666666667,False
241,stanford,nexus_1.txt,243.0,4.612543219209142,21,4,10.65,1.9,9.5,False
242,stanford,nexus_1.txt,244.0,9.867000984913963,23,4,10.55,0.65,3.25,False
243,stanford,nexus_1.txt,245.0,14.629528620187871,25,2,12.8,1.0,10.0,False
244,stanford,nexus_1.txt,246.0,20.028720966309496,22,2,12.85,1.0,10.0,False
245,stanford,nexus_1.txt,247.0,21.72687273094558,22,3,13.0,1.75,11.666666666666666,False
246,stanford,nexus_1.txt,248.0,107.59993112547451,42,6,22.6,2.75,9.166666666666666,False
247,stanford,nexus_1.txt,249.0,15.681655093998504,24,5,14.9,2.35,9.4,False
248,stanford,nexus_1.txt,250.0,51.80964503348662,21,6,10.85,2.8,9.333333333333334,False
249,stanford,nexus_1.txt,251.0,8.3838855527523,22,5,10.25,1.6,6.4,False
250,stanford,nexus_1.txt,252.0,41.243281994225285,23,4,12.9,1.25,6.25,False
251,stanford,nexus_1.txt,253.0,10.82203631218362,21,1,13.05,0.95,19.0,False
252,stanford,nexus_1.txt,254.0,30.022272284291265,20,5,13.05,1.35,5.4,False
253,stanford,nexus_1.txt,255.0,7.168334580605337,21,2,13.0,1.0,10.0,False
254,stanford,nexus_1.txt,256.0,25.190274368082335,22,4,12.75,1.8,9.0,False
255,stanford,nexus_1.txt,257.0,37.64821875477824,22,5,13.15,1.95,7.8,False
256,stanford,nexus_1.txt,258.0,2.858371976980525,20,1,11.15,0.4,8.0,False
257,stanford,nexus_1.txt,259.0,10.219754305319823,20,1,11.45,0.2,4.0,False
258,stanford,nexus_1.txt,260.0,5.36995943251932,24,0,14.6,0.0,0.0,False
259,stanford,nexus_1.txt,261.0,6.078589042522658,26,2,14.15,0.5,5.0,False
260,stanford,nexus_1.txt,262.0,2.542906748752427,20,1,11.85,0.05,1.0,False
261,stanford,nexus_1.txt,263.0,9.062885622394305,19,2,10.95,0.85,8.5,False
262,stanford,nexus_1.txt,264.0,20.43792328778492,24,4,13.8,0.6,3.0,False
263,stanford,nexus_1.txt,265.0,22.588721458214334,26,5,14.25,1.15,4.6,False
264,stanford,nexus_1.txt,266.0,13.742949215869068,24,2,13.25,0.4,4.0,False
265,stanford,nexus_1.txt,267.0,48.34640652203741,28,3,14.95,0.9,6.0,False
266,stanford,nexus_1.txt,268.0,2.540430265952837,25,0,12.85,0.0,0.0,False
267,stanford,nexus_1.txt,269.0,1.5763098808887197,22,0,12.05,0.0,0.0,False
268,stanford,nexus_1.txt,270.0,2.2383500515961208,20,1,10.85,0.2,4.0,False
269,stanford,nexus_1.txt,271.0,47.755503210904585,25,0,13.4,0.0,0.0,False
270,stanford,nexus_1.txt,272.0,32.18111102530835,27,0,14.45,0.0,0.0,False
271,stanford,nexus_1.txt,273.0,2.477567002250242,24,0,13.45,0.0,0.0,False
272,stanford,nexus_1.txt,274.0,12.68500521830379,25,3,12.95,1.55,10.333333333333334,False
273,stanford,nexus_1.txt,275.0,63.30265085035256,21,5,11.3,1.8,7.2,False
274,stanford,nexus_1.txt,276.0,0.0,24,5,14.2,2.1,8.4,True
275,stanford,nexus_1.txt,277.0,93.48957176464707,26,2,14.25,1.0,10.0,False
276,stanford,nexus_1.txt,278.0,0.0,20,1,12.3,0.9,18.0,True
277,stanford,nexus_1.txt,279.0,2.6813996186836517,22,0,13.15,0.0,0.0,False
278,stanford,nexus_1.txt,280.0,31.31120483172082,20,0,11.15,0.0,0.0,False
279,stanford,nexus_1.txt,281.0,25.907554592411312,20,0,11.45,0.0,0.0,False
280,stanford,nexus_1.txt,282.0,15.679550497025039,24,0,14.6,0.0,0.0,False
281,stanford,nexus_1.txt,283.0,18.15874020842862,20,2,10.05,1.2,12.0,False
282,stanford,nexus_1.txt,284.0,57.82841303248555,22,2,13.0,1.0,10.0,False
283,stanford,nexus_1.txt,285.0,22.494666058650285,21,2,13.05,1.0,10.0,False
284,stanford,nexus_1.txt,286.0,20.932084957849856,22,2,12.75,1.0,10.0,False
285,stanford,nexus_1.txt,287.0,8.9954594328425,21,2,11.75,1.0,10.0,False
286,stanford,nexus_1.txt,288.0,11.264227192681812,20,2,11.0,1.0,10.0,False
287,stanford,nexus_1.txt,289.0,15.758095875061981,24,2,13.9,1.0,10.0,False
288,stanford,nexus_1.txt,290.0,17.570195610796738,26,3,14.25,1.8,12.0,False
289,stanford,nexus_1.txt,291.0,0.0,23,4,13.1,2.0,10.0,True
290,stanford,nexus_1.txt,292.0,13.772199680731468,22,2,10.25,1.0,10.0,False
291,stanford,nexus_1.txt,293.0,46.38382681983105,23,2,12.9,1.0,10.0,False
292,stanford,nexus_1.txt,294.0,15.001702033225463,21,2,13.05,1.0,10.0,False
293,stanford,nexus_1.txt,295.0,9.47869459765362,21,2,12.8,1.0,10.0,False
294,stanford,nexus_1.txt,296.0,8.458857483660587,20,2,11.6,1.0,10.0,False
295,stanford,nexus_1.txt,297.0,15.294280915221231,19,2,11.1,1.0,10.0,False
296,stanford,nexus_1.txt,298.0,20.767922799083163,23,2,14.0,1.0,10.0,False
297,stanford,nexus_1.txt,299.0,30.58037256434894,25,3,14.25,1.85,12.333333333333334,False
298,stanford,nexus_1.txt,300.0,0.0,21,3,12.9,1.95,13.0,True
299,stanford,nexus_1.txt,301.0,80.53575976029593,27,4,14.25,2.0,10.0,False
300,stanford,nexus_1.txt,302.0,0.0,20,2,12.0,1.65,16.5,True
301,stanford,nexus_1.txt,303.0,7.6921687493266555,32,4,16.95,1.25,6.25,False
302,stanford,nexus_1.txt,304.0,7.771301164148579,33,3,17.55,1.35,9.0,False
303,stanford,nexus_1.txt,305.0,7.346239079982098,39,3,20.05,0.95,6.333333333333333,False
304,stanford,nexus_1.txt,306.0,0.0,49,3,25.35,1.1,7.333333333333333,False
